LocationID,Zone,Borough,pct_fee_charged,zone_group
199,Rikers Island,Bronx,11.1,outer_borough_control
200,Riverdale/North Riverdale/Fieldston,Bronx,8.4,outer_borough_control
31,Bronx Park,Bronx,8.4,outer_borough_control
168,Mott Haven/Port Morris,Bronx,6.4,outer_borough_control
119,Highbridge,Bronx,5.2,outer_borough_control
220,Spuyten Duyvil/Kingsbridge,Bronx,5.2,outer_borough_control
184,Pelham Bay Park,Bronx,5.2,outer_borough_control
59,Crotona Park,Bronx,4.9,outer_borough_control
235,University Heights/Morris Heights,Bronx,4.6,outer_borough_control
247,West Concourse,Bronx,4.5,outer_borough_control
69,East Concourse/Concourse Village,Bronx,4.3,outer_borough_control
248,West Farms/Bronx River,Bronx,4.2,outer_borough_control
147,Longwood,Bronx,4.1,outer_borough_control
159,Melrose South,Bronx,4.1,outer_borough_control
182,Parkchester,Bronx,4.1,outer_borough_control
20,Belmont,Bronx,4.0,outer_borough_control
136,Kingsbridge Heights,Bronx,4.0,outer_borough_control
241,Van Cortlandt Village,Bronx,3.9,outer_borough_control
58,Country Club,Bronx,3.9,outer_borough_control
167,Morrisania/Melrose,Bronx,3.8,outer_borough_control
183,Pelham Bay,Bronx,3.6,outer_borough_control
46,City Island,Bronx,3.6,outer_borough_control
212,Soundview/Bruckner,Bronx,3.5,outer_borough_control
60,Crotona Park East,Bronx,3.3,outer_borough_control
240,Van Cortlandt Park,Bronx,3.2,outer_borough_control
169,Mount Hope,Bronx,3.2,outer_borough_control
185,Pelham Parkway,Bronx,3.2,outer_borough_control
126,Hunts Point,Bronx,3.2,outer_borough_control
208,Schuylerville/Edgewater Park,Bronx,3.1,outer_borough_control
94,Fordham South,Bronx,3.0,outer_borough_control
78,East Tremont,Bronx,3.0,outer_borough_control
250,Westchester Village/Unionport,Bronx,2.8,outer_borough_control
32,Bronxdale,Bronx,2.7,outer_borough_control
213,Soundview/Castle Hill,Bronx,2.7,outer_borough_control
47,Claremont/Bathgate,Bronx,2.7,outer_borough_control
174,Norwood,Bronx,2.5,outer_borough_control
18,Bedford Park,Bronx,2.5,outer_borough_control
259,Woodlawn/Wakefield,Bronx,2.3,outer_borough_control
242,Van Nest/Morris Park,Bronx,2.1,outer_borough_control
3,Allerton/Pelham Gardens,Bronx,2.0,outer_borough_control
254,Williamsbridge/Olinville,Bronx,1.9,outer_borough_control
51,Co-Op City,Bronx,1.8,outer_borough_control
81,Eastchester,Bronx,1.7,outer_borough_control
66,DUMBO/Vinegar Hill,Brooklyn,36.3,outer_borough_control
34,Brooklyn Navy Yard,Brooklyn,29.0,outer_borough_control
33,Brooklyn Heights,Brooklyn,27.3,outer_borough_control
256,Williamsburg (South Side),Brooklyn,24.7,outer_borough_control
65,Downtown Brooklyn/MetroTech,Brooklyn,23.7,outer_borough_control
54,Columbia Street,Brooklyn,23.3,outer_borough_control
255,Williamsburg (North Side),Brooklyn,23.0,outer_borough_control
112,Greenpoint,Brooklyn,22.1,outer_borough_control
52,Cobble Hill,Brooklyn,20.7,outer_borough_control
40,Carroll Gardens,Brooklyn,19.5,outer_borough_control
97,Fort Greene,Brooklyn,18.2,outer_borough_control
195,Red Hook,Brooklyn,18.0,outer_borough_control
25,Boerum Hill,Brooklyn,17.8,outer_borough_control
80,East Williamsburg,Brooklyn,16.0,outer_borough_control
49,Clinton Hill,Brooklyn,15.5,outer_borough_control
257,Windsor Terrace,Brooklyn,13.3,outer_borough_control
189,Prospect Heights,Brooklyn,12.5,outer_borough_control
181,Park Slope,Brooklyn,12.5,outer_borough_control
106,Gowanus,Brooklyn,11.1,outer_borough_control
37,Bushwick South,Brooklyn,10.0,outer_borough_control
17,Bedford,Brooklyn,9.2,outer_borough_control
36,Bushwick North,Brooklyn,8.8,outer_borough_control
228,Sunset Park West,Brooklyn,8.5,outer_borough_control
225,Stuyvesant Heights,Brooklyn,8.4,outer_borough_control
190,Prospect Park,Brooklyn,8.4,outer_borough_control
111,Green-Wood Cemetery,Brooklyn,7.6,outer_borough_control
133,Kensington,Brooklyn,7.6,outer_borough_control
14,Bay Ridge,Brooklyn,7.3,outer_borough_control
67,Dyker Heights,Brooklyn,7.3,outer_borough_control
61,Crown Heights North,Brooklyn,6.1,outer_borough_control
217,South Williamsburg,Brooklyn,6.1,outer_borough_control
227,Sunset Park East,Brooklyn,5.9,outer_borough_control
89,Flatbush/Ditmas Park,Brooklyn,5.7,outer_borough_control
62,Crown Heights South,Brooklyn,5.6,outer_borough_control
154,Marine Park/Floyd Bennett Field,Brooklyn,5.2,outer_borough_control
188,Prospect-Lefferts Gardens,Brooklyn,5.1,outer_borough_control
178,Ocean Parkway South,Brooklyn,4.8,outer_borough_control
85,Erasmus,Brooklyn,4.5,outer_borough_control
11,Bath Beach,Brooklyn,4.2,outer_borough_control
22,Bensonhurst West,Brooklyn,4.1,outer_borough_control
165,Midwood,Brooklyn,3.8,outer_borough_control
21,Bensonhurst East,Brooklyn,3.7,outer_borough_control
55,Coney Island,Brooklyn,3.6,outer_borough_control
123,Homecrest,Brooklyn,3.5,outer_borough_control
177,Ocean Hill,Brooklyn,3.3,outer_borough_control
108,Gravesend,Brooklyn,3.1,outer_borough_control
29,Brighton Beach,Brooklyn,3.0,outer_borough_control
71,East Flatbush/Farragut,Brooklyn,2.9,outer_borough_control
150,Manhattan Beach,Brooklyn,2.7,outer_borough_control
63,Cypress Hills,Brooklyn,2.6,outer_borough_control
149,Madison,Brooklyn,2.5,outer_borough_control
26,Borough Park,Brooklyn,2.5,outer_borough_control
210,Sheepshead Bay,Brooklyn,2.3,outer_borough_control
155,Marine Park/Mill Basin,Brooklyn,2.1,outer_borough_control
91,Flatlands,Brooklyn,2.1,outer_borough_control
77,East New York/Pennsylvania Avenue,Brooklyn,1.9,outer_borough_control
72,East Flatbush/Remsen Village,Brooklyn,1.9,outer_borough_control
35,Brownsville,Brooklyn,1.8,outer_borough_control
222,Starrett City,Brooklyn,1.6,outer_borough_control
39,Canarsie,Brooklyn,1.3,outer_borough_control
76,East New York,Brooklyn,1.3,outer_borough_control
1,Newark Airport,EWR,0.0,exclude_other
105,"Governor's Island/Ellis Island/Liberty Island",Manhattan,100.0,treatment
230,Times Sq/Theatre District,Manhattan,99.4,treatment
100,Garment District,Manhattan,99.4,treatment
224,Stuy Town/Peter Cooper Village,Manhattan,99.3,treatment
164,Midtown South,Manhattan,99.3,treatment
163,Midtown North,Manhattan,99.3,treatment
161,Midtown Center,Manhattan,99.3,treatment
48,Clinton East,Manhattan,99.3,treatment
211,SoHo,Manhattan,99.2,treatment
12,Battery Park,Manhattan,99.2,treatment
68,East Chelsea,Manhattan,99.2,treatment
125,Hudson Sq,Manhattan,99.2,treatment
162,Midtown East,Manhattan,99.2,treatment
186,Penn Station/Madison Sq West,Manhattan,99.2,treatment
170,Murray Hill,Manhattan,99.2,treatment
113,Greenwich Village North,Manhattan,99.2,treatment
234,Union Sq,Manhattan,99.1,treatment
144,Little Italy/NoLiTa,Manhattan,99.1,treatment
148,Lower East Side,Manhattan,99.1,treatment
